Rain,NPP
1061,416
1062,625
1062,674
1063,694
1066,618
1066,444
1067,611
1071,639
1072,656
1073,608
1074,655
1076,616
1076,666
1076,478
1080,608
1080,589
1081,636
1081,609
1086,626
1086,681
1090,628
1093,676
1095,629
1096,617
1096,648
1096,711
1096,611
1098,399
1100,646
1103,638
1105,503
1107,726
1112,727
1114,640
1115,683
1116,646
1117,759
1118,670
1119,706
1120,451
1123,606
1124,615
1130,530
1131,669
1131,630
1134,601
1135,663
1137,616
1138,659
1139,592
1140,620
1142,539
1145,500
1146,578
1146,653
1147,684
1149,564
1153,658
1155,547
1155,621
1156,668
1158,662
1160,643
1161,389
1161,590
1166,438
1166,464
1181,626
1207,542
1213,594
1223,824
1230,664
1230,620
1320,645
1320,650
1325,458
1330,673
1334,648
1360,518
1405,1235
1450,737
1499,658
1650,987
1667,720
1341,487
1343,632
1648,738
1763,929
1958,1124
432,384
453,386
482,390
506,377
518,396
524,378
527,376
547,375
560,381
565,406
572,375
574,371
593,391
599,385
606,380
609,398
617,380
627,378
631,404
632,341
633,402
635,355
637,349
639,340
640,366
643,350
646,419
647,362
654,354
654,364
655,387
657,373
657,396
659,370
661,634
662,365
663,363
666,347
666,355
682,352
690,418
691,380
692,368
699,348
710,341
715,361
719,429
733,358
733,373
735,321
770,440
789,374
791,376
793,386
802,420
827,543
831,374
833,424
884,372
891,454
934,384
944,374
1055,412
1179,713
1225,718
